0,1,2
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,4.0,3.5
3.5,4.0,3.5
3.5,4.0,3.5
3.5,4.0,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.0,3.0
3.5,3.0,3.0
3.5,3.0,3.0
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
4.0,3.5,3.5
4.0,3.5,3.5
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,4.0,3.5
3.5,4.0,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
4.0,4.0,4.0
4.0,4.0,4.0
4.0,3.5,3.5
4.0,3.5,3.5
4.0,3.5,3.5
3.5,3.5,3.0
3.5,3.5,3.0
4.0,4.0,3.5
4.0,4.0,3.5
4.5,4.5,4.5
4.5,4.5,4.5
4.5,4.5,4.5
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,3.5
4.0,4.0,3.5
4.0,4.0,3.5
4.0,4.0,3.5
3.5,4.0,3.5
3.5,4.0,3.5
4.0,4.0,4.0
4.0,4.0,4.0
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,4.0
3.5,3.5,4.0
3.5,3.5,3.5
3.5,3.5,3.5
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
3.5,4.0,3.5
3.5,4.0,3.5
3.5,4.0,3.5
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,3.5,3.5
4.0,3.5,3.5
4.0,3.5,3.5
3.5,3.5,4.0
3.5,3.5,4.0
4.0,3.5,4.0
4.0,3.5,4.0
4.0,4.0,4.0
4.0,4.0,4.0
4.0,3.5,3.5
4.0,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,4.0,3.5
3.5,4.0,3.5
3.5,4.0,3.5
3.5,4.0,3.5
3.5,4.0,3.5
3.5,3.5,3.5
3.5,3.5,3.5
3.5,3.5,3.5
